Substrate,id,num,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc,Score
TRIM15,KLHL29,4,0.82799,0.82917,0.994023,77,1,-0.17446,0.081974908
TRIM15,KLHL15,4,0.85224,0.8527,0.994023,78,0,-0.88679,0.069438086
TRIM15,SHKBP1,4,0.86215,0.86248,0.994023,79,0,-0.38315,0.064417167
TRIM15,KBTBD3,3,0.87299,0.87183,0.994023,80,0,-0.53994,0.058990731
TRIM15,KBTBD11,4,0.88046,0.88073,0.994023,81,0,-0.60802,0.05529037
TRIM15,BTBD2,4,0.8889,0.88912,0.994023,82,0,-0.65364,0.051147094
TRIM15,RCBTB1,4,0.90805,0.90771,0.994023,83,0,-0.4078,0.041890237
TRIM15,KLHL6,4,0.92306,0.92254,0.994023,84,0,-0.36781,0.034770068
TRIM15,KLHL24,4,0.92461,0.92408,0.994023,85,0,-0.055819,0.034041414
TRIM15,KLHL12,4,0.93056,0.92956,0.994023,86,0,-0.33322,0.031255619
TRIM15,ZBTB10,4,0.94267,0.94198,0.994023,87,0,-0.19085,0.025640314
TRIM15,KLHL3,4,0.9602,0.95966,0.994023,88,0,-0.50701,0.017638298
TRIM15,KCTD19,4,0.96386,0.96343,0.994023,89,0,-0.52436,0.015986042
TRIM15,KBTBD8,4,0.96727,0.96695,0.994023,90,0,-0.41032,0.014452282
TRIM15,BCL6,4,0.96888,0.96882,0.994023,91,0,-0.25492,0.013730009
TRIM15,RHOBTB1,4,0.98192,0.98205,0.994023,92,0,-0.49163,0.007923894
TRIM15,KCTD1,4,0.98295,0.98311,0.994023,93,0,-0.36776,0.007468573
TRIM15,ARMC5,4,0.99161,0.99176,0.994023,94,0,-0.68146,0.003659102
TRIM15,KCTD17,4,0.99397,0.99402,0.994023,95,0,-0.56025,0.002626723
CEND1,CUL3,4,2.10E-08,4.99E-06,0.000474,1,4,4.2994,7.678629442
CEND1,KLHL17,4,0.0068257,0.023994,0.840963,2,4,1.3485,2.165852804
CEND1,BCL6,4,0.0094149,0.032213,0.840963,3,4,1.4621,2.026184288
CEND1,ZBTB10,4,0.010452,0.035409,0.840963,4,3,1.8975,1.980800599
CEND1,KLHL14,4,0.013507,0.044567,0.846774,5,4,1.455,1.8694411
CEND1,KCTD3,4,0.020333,0.064451,0.950447,6,3,1.6795,1.691798539
CEND1,RBX1,4,0.026471,0.079382,0.950447,7,1,-0.058702,1.577229652
CEND1,ARIH1,4,0.031165,0.089069,0.950447,8,3,1.5189,1.506332869
CEND1,KLHL36,4,0.035697,0.097788,0.950447,9,2,-1.5811,1.447368281
CEND1,KLHL5,4,0.044994,0.11545,0.950447,10,2,-1.1093,1.346845396
CEND1,KLHL11,4,0.04746,0.12014,0.950447,11,2,0.76441,1.323672266
CEND1,GMCL1,4,0.057876,0.13976,0.950447,12,2,1.1544,1.237501492
CEND1,LGALS3BP,4,0.060292,0.14416,0.950447,13,3,1.431,1.21974031
CEND1,KCTD18,4,0.060613,0.14481,0.950447,14,2,-2.4937,1.21743422
CEND1,RHOBTB2,4,0.07079,0.16364,0.950447,15,3,1.162,1.150028088
CEND1,ZBTB16,4,0.077833,0.1763,0.950447,16,2,0.23608,1.10883623
CEND1,RCBTB2,4,0.084308,0.18827,0.950447,17,3,1.2333,1.074131213
CEND1,KBTBD11,4,0.087857,0.19456,0.950447,18,1,0.40028,1.05622363
CEND1,KCTD14,4,0.097266,0.21076,0.950447,19,2,-0.67683,1.012038944
CEND1,KBTBD2,4,0.10373,0.22286,0.950447,20,3,1.219,0.984095622
CEND1,KCTD1,4,0.10401,0.2233,0.950447,21,2,-2.2177,0.982924904
CEND1,BTBD3,4,0.10766,0.22972,0.950447,22,2,0.92712,0.967945625
CEND1,SPOP,4,0.12714,0.26245,0.950447,23,2,-2.1797,0.895717793
CEND1,KBTBD7,4,0.13675,0.27904,0.950447,24,1,-5.9657,0.864072665
CEND1,KLHL12,4,0.14629,0.29485,0.950447,25,1,0.0028539,0.83478536
CEND1,KCTD6,4,0.14672,0.29555,0.950447,26,3,0.70077,0.833510682
CEND1,KEAP1,4,0.15232,0.30449,0.950447,27,3,0.74201,0.817243069
CEND1,KCTD2,4,0.1634,0.32238,0.950447,28,2,0.68561,0.786747948
CEND1,RHOBTB1,4,0.17443,0.33466,0.950447,29,1,-0.75991,0.758378819
CEND1,KLHL18,4,0.18366,0.34375,0.950447,30,2,0.49244,0.73598542
CEND1,GAN,4,0.18368,0.34375,0.950447,31,2,0.80916,0.735938129
CEND1,BTBD11,4,0.19199,0.35181,0.950447,32,2,0.49756,0.716721391
CEND1,BTBD8,4,0.1928,0.35255,0.950447,33,1,-3.9075,0.71489297
CEND1,BTBD7,4,0.20187,0.36104,0.950447,34,1,-0.035521,0.694928217
CEND1,KCTD10,4,0.21087,0.36917,0.950447,35,1,-1.0234,0.675985202
CEND1,NACC1,4,0.22183,0.37969,0.950447,36,2,0.34591,0.653979721
CEND1,ANKFY1,4,0.23739,0.39423,0.950447,37,1,-1.0249,0.62453758
CEND1,KCTD7,4,0.24826,0.40426,0.950447,38,2,0.33837,0.605093249
CEND1,KCTD12,1,0.26337,0.26392,0.950447,39,1,1.1694,0.579433696
CEND1,ABTB1,4,0.26624,0.42138,0.950447,40,2,-2.349,0.574726695
CEND1,RHOBTB3,4,0.29828,0.45162,0.950447,41,2,-0.07997,0.525375866
CEND1,BTBD6,4,0.30755,0.46074,0.950447,42,2,-2.5826,0.512084269
CEND1,KLHL25,4,0.31296,0.46602,0.950447,43,1,-0.86108,0.504511167
CEND1,KLHL32,4,0.32153,0.47451,0.950447,44,2,0.71942,0.492778499
CEND1,BTBD1,4,0.345,0.49711,0.950447,45,2,0.3514,0.462180905
CEND1,KCTD5,4,0.35444,0.50552,0.950447,46,2,-1.6477,0.450457272
CEND1,KLHL40,4,0.37811,0.52814,0.950447,47,2,-1.8673,0.422381837
CEND1,IBTK,4,0.38286,0.53278,0.950447,48,2,-1.4685,0.416960005
CEND1,KLHL20,4,0.39018,0.5395,0.950447,49,1,-1.0127,0.408734996
CEND1,KLHL9,4,0.41137,0.56088,0.950447,50,2,0.032606,0.385767383
CEND1,KLHL24,4,0.42562,0.57516,0.950447,51,2,-1.4248,0.370977973
CEND1,KLHL42,4,0.42626,0.57574,0.950447,52,2,0.38768,0.370325419
CEND1,KLHL28,2,0.42945,0.44821,0.950447,53,1,-0.018201,0.367087393
CEND1,ARMC5,4,0.43327,0.58293,0.950447,54,1,0.27111,0.363241381
CEND1,KBTBD3,3,0.4442,0.53241,0.950447,55,1,-5.3791,0.352421446
CEND1,KBTBD4,4,0.44461,0.59371,0.950447,56,2,-1.0536,0.352020774
CEND1,ABTB2,4,0.44712,0.59614,0.950447,57,1,0.23922,0.349575903
CEND1,KCTD9,4,0.46825,0.61632,0.950447,58,2,-0.33031,0.329522214
CEND1,BTBD9,4,0.48713,0.63405,0.950447,59,1,-0.83421,0.312355123
CEND1,RCBTB1,4,0.49176,0.63833,0.950447,60,2,0.10064,0.3082468
CEND1,KLHL13,4,0.49358,0.64005,0.950447,61,1,-0.28145,0.306642446
CEND1,KLHL29,4,0.49644,0.64298,0.950447,62,2,0.5559,0.304133233
CEND1,NACC2,4,0.50111,0.64768,0.950447,63,2,0.55674,0.300066931
CEND1,KLHL6,4,0.52493,0.6589,0.950447,64,1,-3.5409,0.279898606
CEND1,KCTD15,4,0.57203,0.67883,0.950447,65,1,-2.4551,0.242581194
CEND1,MYNN,4,0.58875,0.68641,0.950447,66,1,-5.0956,0.23006908
